HB7
100
Calibration Data 

thermcouple_temp sensor_moisture sensor_temp

48.0 5505 8333
47.2 5555 8333
46.5 5519 8333
45.8 5446 8264
45.4 5417 8197
44.9 5363 8130
44.5 5324 8000
44.1 5272 8000
43.7 5223 7874
43.3 5168 7813
43.0 5192 7752
42.6 5287 7634
42.3 5372 7576
41.8 5446 7519
41.5 5524 7407
41.2 5503 7353
40.9 5584 7246
40.5 5679 7246
40.1 5766 7092
39.8 5812 7092
39.5 5869 6993
39.2 5964 6897
39.0 6066 6897
38.5 6690 6757
38.0 6558 6579
37.5 6461 6494
37.0 6354 6369
36.5 6263 6289
36.0 6183 6211
35.5 6079 6098
35.0 5977 6024
34.5 5880 5918
34.0 5791 5878
33.5 5676 5714
33.0 5567 5618
32.5 5477 5524
32.0 5406 5435
31.5 5303 5319
31.0 5236 5263
30.5 5128 5104





