,DateTime,Thermocouple Temperature (C),Sensor Temp (Hz),Sensor Moist (Hz)
7,2017-10-05 10:23:12.463915,55.5,3952.57,13698.0
8,2017-10-05 10:23:13.503434,60.75,4587.16,13698.0
9,2017-10-05 10:23:14.527323,66.0,5102.04,13888.0
10,2017-10-05 10:23:15.566531,70.25,5434.78,13698.0
11,2017-10-05 10:23:16.606435,72.75,5747.13,13698.0
12,2017-10-05 10:23:17.646034,74.25,5882.35,13698.0
13,2017-10-05 10:23:18.669372,76.75,6369.43,13513.0
14,2017-10-05 10:23:19.708947,78.0,6756.76,13513.0
15,2017-10-05 10:23:20.748667,79.25,6993.01,13513.0
16,2017-10-05 10:23:21.788138,80.0,7246.38,13698.0
17,2017-10-05 10:23:22.827830,81.0,7936.51,14925.0
18,2017-10-05 10:23:23.851266,81.5,8064.52,13513.0
19,2017-10-05 10:23:24.890861,81.5,8474.58,13157.0
20,2017-10-05 10:23:25.930728,82.0,8695.65,13698.0
21,2017-10-05 10:23:26.970047,82.25,9259.26,13698.0
22,2017-10-05 10:23:27.993654,82.5,9345.79,13333.0
23,2017-10-05 10:23:29.033792,82.5,9803.92,13333.0
24,2017-10-05 10:23:30.072831,82.25,10101.01,13513.0
25,2017-10-05 10:23:31.112337,82.5,10101.01,13157.0
26,2017-10-05 10:23:32.151941,82.75,10989.01,13333.0
27,2017-10-05 10:23:33.175386,82.5,9708.74,13513.0
28,2017-10-05 10:23:34.215043,82.25,11363.64,13157.0
29,2017-10-05 10:23:35.254639,82.75,11764.71,13333.0
30,2017-10-05 10:23:36.294205,82.75,12345.68,13513.0
31,2017-10-05 10:23:37.317922,83.0,12195.12,13333.0
32,2017-10-05 10:23:38.357543,82.75,12345.68,13513.0
33,2017-10-05 10:23:39.396911,82.75,11494.25,13333.0
34,2017-10-05 10:23:40.436322,82.75,12820.51,13333.0
35,2017-10-05 10:23:41.475907,82.75,12500.0,13333.0
36,2017-10-05 10:23:42.499555,83.0,13157.89,13333.0
37,2017-10-05 10:23:43.539106,82.0,13333.33,13157.0
38,2017-10-05 10:23:44.579138,82.5,13513.51,13333.0
39,2017-10-05 10:23:45.618156,82.25,15151.52,13513.0
40,2017-10-05 10:23:46.641846,82.5,13698.63,13513.0
41,2017-10-05 10:23:47.681731,82.25,13888.89,13157.0
42,2017-10-05 10:23:48.720934,82.5,14084.51,13513.0
43,2017-10-05 10:23:49.760172,82.25,14084.51,13333.0
44,2017-10-05 10:23:50.799705,82.5,13157.89,13157.0
45,2017-10-05 10:23:51.823140,82.25,14492.75,13513.0
46,2017-10-05 10:23:52.862689,81.75,14492.75,13333.0
47,2017-10-05 10:23:53.901964,82.75,14492.75,13513.0
48,2017-10-05 10:23:54.941702,82.75,14492.75,13333.0
49,2017-10-05 10:23:55.981025,82.25,15384.62,13698.0
50,2017-10-05 10:23:57.004396,82.5,14084.51,13513.0
51,2017-10-05 10:23:58.043823,82.5,15151.52,13333.0
52,2017-10-05 10:23:59.083224,82.25,15151.52,13157.0
53,2017-10-05 10:24:00.122602,82.25,14925.37,13333.0
54,2017-10-05 10:24:01.161964,82.25,15625.0,13333.0
55,2017-10-05 10:24:02.185557,82.25,15151.52,13333.0
56,2017-10-05 10:24:03.225050,82.0,15873.02,13513.0
57,2017-10-05 10:24:04.264609,81.75,15384.62,13157.0
58,2017-10-05 10:24:05.303908,82.0,15151.52,13333.0
59,2017-10-05 10:24:06.327366,82.25,15384.62,13513.0
60,2017-10-05 10:24:07.367092,81.5,16129.03,13333.0
61,2017-10-05 10:24:08.406270,82.0,16129.03,13513.0
62,2017-10-05 10:24:09.445666,81.25,14285.71,13513.0
63,2017-10-05 10:24:10.485277,81.75,15625.0,13333.0
64,2017-10-05 10:24:11.508818,82.0,15625.0,13333.0
65,2017-10-05 10:24:12.548420,82.0,16949.15,13513.0
66,2017-10-05 10:24:13.587404,82.0,16393.44,13513.0
67,2017-10-05 10:24:14.626737,82.25,15625.0,13513.0
68,2017-10-05 10:24:15.666191,82.0,14084.51,12500.0
69,2017-10-05 10:24:16.689626,81.75,14705.88,13698.0
70,2017-10-05 10:24:17.729219,81.75,16949.15,13333.0
71,2017-10-05 10:24:18.768526,81.75,15625.0,14285.0
72,2017-10-05 10:24:19.807892,82.0,15625.0,13333.0
73,2017-10-05 10:24:20.831469,81.75,16393.44,13333.0
74,2017-10-05 10:24:21.870786,81.75,15873.02,13513.0
75,2017-10-05 10:24:22.910275,81.75,16129.03,13513.0
76,2017-10-05 10:24:23.949840,82.0,16129.03,13333.0
77,2017-10-05 10:24:24.988927,81.5,16129.03,13333.0
78,2017-10-05 10:24:26.012281,81.25,16129.03,13513.0
79,2017-10-05 10:24:27.051729,81.75,16129.03,13333.0
80,2017-10-05 10:24:28.091369,81.5,16129.03,13513.0
81,2017-10-05 10:24:29.130619,81.5,13333.33,13513.0
82,2017-10-05 10:24:30.170368,81.5,16393.44,13333.0
83,2017-10-05 10:24:31.193746,81.75,16129.03,13333.0
84,2017-10-05 10:24:32.232835,81.5,16129.03,13333.0
85,2017-10-05 10:24:33.272264,81.75,16129.03,13513.0
86,2017-10-05 10:24:34.312176,81.5,17543.86,13513.0
87,2017-10-05 10:24:35.351043,81.5,14925.37,13513.0
88,2017-10-05 10:24:36.374700,81.25,17543.86,13333.0
89,2017-10-05 10:24:37.414023,81.5,16129.03,13513.0
90,2017-10-05 10:24:38.453836,81.25,15151.52,13157.0
91,2017-10-05 10:24:39.493385,81.25,16129.03,13333.0
92,2017-10-05 10:24:40.516685,81.0,16393.44,13513.0
93,2017-10-05 10:24:41.556278,81.25,17857.14,13333.0
94,2017-10-05 10:24:42.595591,81.0,16666.67,13513.0
95,2017-10-05 10:24:43.634927,81.0,16666.67,13333.0
96,2017-10-05 10:24:44.674432,80.75,18181.82,13333.0
97,2017-10-05 10:24:45.697791,81.0,16666.67,13333.0
98,2017-10-05 10:24:46.737104,81.0,16393.44,13333.0
99,2017-10-05 10:24:47.776396,80.75,16666.67,13333.0
100,2017-10-05 10:24:48.815863,81.25,16666.67,13157.0
101,2017-10-05 10:24:49.855526,81.0,16666.67,13513.0
102,2017-10-05 10:24:50.878800,81.25,16666.67,13157.0
103,2017-10-05 10:24:51.918190,80.75,14925.37,13513.0
104,2017-10-05 10:24:52.958063,81.0,16666.67,13333.0
105,2017-10-05 10:24:53.997440,81.0,15873.02,13157.0
106,2017-10-05 10:24:55.021015,81.0,18518.52,13333.0
107,2017-10-05 10:24:56.060757,81.0,16666.67,13333.0
108,2017-10-05 10:24:57.100095,81.0,16666.67,13333.0
109,2017-10-05 10:24:58.139784,80.75,16666.67,13513.0
110,2017-10-05 10:24:59.179216,80.75,16666.67,13513.0
111,2017-10-05 10:25:00.202895,80.75,17241.38,13513.0
112,2017-10-05 10:25:01.242647,81.0,18518.52,13333.0
113,2017-10-05 10:25:02.281962,81.0,16666.67,13513.0
114,2017-10-05 10:25:03.321637,80.75,15151.52,13513.0
115,2017-10-05 10:25:04.361052,80.75,17241.38,13513.0
116,2017-10-05 10:25:05.384835,80.75,16666.67,13513.0
117,2017-10-05 10:25:06.424275,80.75,16666.67,13333.0
118,2017-10-05 10:25:07.463690,80.75,16666.67,13513.0
119,2017-10-05 10:25:08.503518,80.5,17543.86,13157.0
120,2017-10-05 10:25:09.526658,80.25,17241.38,13157.0
121,2017-10-05 10:25:10.566246,80.5,16666.67,13333.0
122,2017-10-05 10:25:11.605913,80.5,16666.67,13333.0
123,2017-10-05 10:25:12.645707,80.5,16666.67,13513.0
124,2017-10-05 10:25:13.685277,80.25,16949.15,13333.0
125,2017-10-05 10:25:14.709043,79.75,16949.15,13513.0
126,2017-10-05 10:25:15.748306,80.25,16949.15,13333.0
127,2017-10-05 10:25:16.788045,80.5,17241.38,13157.0
128,2017-10-05 10:25:17.827486,80.5,16666.67,13333.0
129,2017-10-05 10:25:18.850845,80.25,14705.88,13513.0
130,2017-10-05 10:25:19.890569,80.0,18181.82,13157.0
131,2017-10-05 10:25:20.929566,80.0,15873.02,13333.0
132,2017-10-05 10:25:21.969221,80.0,18867.92,13333.0
133,2017-10-05 10:25:23.008647,80.5,16949.15,13333.0
134,2017-10-05 10:25:24.032159,80.25,17543.86,13157.0
135,2017-10-05 10:25:25.071385,80.5,18867.92,13333.0
136,2017-10-05 10:25:26.111071,79.75,16949.15,13333.0
137,2017-10-05 10:25:27.150672,80.25,16949.15,13333.0
138,2017-10-05 10:25:28.174139,79.75,18518.52,13333.0
139,2017-10-05 10:25:29.213808,79.75,16666.67,13333.0
140,2017-10-05 10:25:30.253180,80.25,17543.86,13513.0
141,2017-10-05 10:25:31.293017,79.75,16949.15,13333.0
142,2017-10-05 10:25:32.332286,80.0,17857.14,13333.0
143,2017-10-05 10:25:33.355931,79.5,16949.15,13513.0
144,2017-10-05 10:25:34.395096,80.25,18181.82,13513.0
