HB5 
Calibration Data
100

thermcouple_temp sensor_moisture sensor_temp

50.2 9711 9804
49.6 7106 9615
49.2 7615 9434
48.6 9168 9259
48.0 6802 9174
47.5 6648 8929
47.0 6565 8850
46.5 6413 8621
46.0 6702 8547
45.5 6679 8403
45.0 6881 8333
44.5 6959 8197
44.0 7983 8065
43.5 6962 7936
43.0 7765 7813
42.5 7583 7634
42.0 7477 7519
41.5 7359 7407
41.0 7270 7353
40.5 7131 7143
40.0 7035 7092 
39.5 6908 6993
39.0 6798 6803 
38.5 6700 6757
38.0 6575 6623
37.5 6480 6494
37.0 6393 6452
36.5 6212 6250
36.0 6161 6211
35.5 6047 6098
35.0 5962 6024
34.5 5855 5882
34.0 5782 5813
33.5 5666 5714
33.0 5589 5618

