HB6
100
Calibration Data

thermcouple_temp sensor_moisture sensor_temp

51.2 9738 9803
50.3 9668 9804
49.5 9572 9615
49.3 9467 9615
48.7 9339 9434
48.3 9160 9259
48.0 9060 9174
47.5 8922 9009
47.0 8803 8850
46.0 8557 8696
45.5 8409 8475
45.0 8310 8403
44.5 8171 8197
44.0 8032 8065
43.5 7885 7937
43.0 7805 7874
42.5 7683 7752
42.0 7554 7576
41.5 7430 7519
41.0 7337 7407
40.5 7217 7299
40.0 7120 7194
39.5 6985 7042
39.0 6897 6944
38.5 6777 6803
38.0 6665 6667
37.5 6512 6579
37.0 6434 6494
36.5 6317 6329
36.0 6237 6289
