Temperature,Voltage,Sensor,CapSense,THSense,BV
30,5,haybale3,19690,5347,4.869
30,5,haybale4,18046,5434,4.73
30,5,haybale5,18221,5649,4.85
30,5,haybale6,17558,5208,4.65
30,5,haybale7,17558,5555,4.75
30,4.5,haybale3,18823,5263,4.35
30,4.5,haybale4,17535,5319,4.35
30,4.5,haybale5,17697,5524,4.46
30,4.5,haybale6,17063,5102,4.35
30,4.5,haybale7,18208,5319,4.33
30,4,haybale3,17511,5319,3.68
30,4,haybale4,16521,5291,3.84
30,4,haybale5,16356,5494,3.8
30,4,haybale6,16052,5128,3.87
30,4,haybale7,17183,5434,3.89
30,3.5,haybale3,15917,5154,3.38
30,3.5,haybale4,15111,5154,3.38
30,3.5,haybale5,14471,5208,3.39
30,3.5,haybale6,14439,4950,3.4
30,3.5,haybale7,15411,5208,3.4
30,3,haybale3,13393,4854,3.42
30,3,haybale4,12045,4739,3.43
30,3,haybale5,11110,4566,3.43
30,3,haybale6,11305,4504,3.43
30,3,haybale7,15232,4901,3.41
45,5,haybale3,19200,9174,4.77
45,5,haybale4,17826,8771,4.76
45,5,haybale5,17963,9433,4.66
45,5,haybale6,17357,8695,4.8
45,5,haybale7,18849,9433,4.91
45,4.5,haybale3,18568,9174,4.38
45,4.5,haybale4,17350,8695,4.45
45,4.5,haybale5,17310,9433,4.29
45,4.5,haybale6,16755,8695,4.36
45,4.5,haybale7,18241,9239,4.47
45,4,haybale3,17210,8928,3.75
45,4,haybale4,17350,8695,3.76
45,4,haybale5,16020,9174,3.77
45,4,haybale6,15545,8474,3.78
45,4,haybale7,16457,8928,3.73
45,3.5,haybale3,15855,8620,3.39
45,3.5,haybale4,14732,8403,3.39
45,3.5,haybale5,14535,8928,3.39
45,3.5,haybale6,14579,8264,3.45
45,3.5,haybale7,15512,8695,3.45
45,3,haybale3,12458,7812,3.42
45,3,haybale4,11202,7092,3.43
45,3,haybale5,12024,7936,3.56
45,3,haybale6,11137,7092,3.43
45,3,haybale7,12928,7936,3.56
60,5,haybale3,18860,15151,4.81
60,5,haybale4,17755,12820,4.92
60,5,haybale5,17567,15873,4.82
60,5,haybale6,17110,13513,4.8
60,5,haybale7,18582,15151,4.92
60,4.5,haybale3,18086,14705,4.27
60,4.5,haybale4,16755,12820,4.23
60,4.5,haybale5,16956,15151,4.3
60,4.5,haybale6,16409,13698,4.3
60,4.5,haybale7,17810,14925,4.38
60,4,haybale3,17355,14492,3.94
60,4,haybale4,15768,13157,3.76
60,4,haybale5,15820,14925,3.83
60,4,haybale6,15452,13698,3.83
60,4,haybale7,16622,14705,3.88
60,3.5,haybale3,15865,13888,3.42
60,3.5,haybale4,14295,12820,3.39
60,3.5,haybale5,14334,14285,3.39
60,3.5,haybale6,14064,12987,3.4
60,3.5,haybale7,15447,13888,3.48
60,3,haybale3,12804,11764,3.43
60,3,haybale4,11645,11494,3.42
60,3,haybale5,11797,12345,3.43
60,3,haybale6,10837,10869,3.43
60,3,haybale7,12918,12195,3.43
75,5,haybale3,18822,23255,4.78
75,5,haybale4,17353,19230,4.8
75,5,haybale5,17554,24390,4.9
75,5,haybale6,17042,20833,4.8
75,5,haybale7,18438,23255,4.9
75,4.5,haybale3,18050,22727,4.36
75,4.5,haybale4,16612,19607,4.32
75,4.5,haybale5,16637,23255,4.29
75,4.5,haybale6,16281,19607,4.32
75,4.5,haybale7,17725,23809,4.45
75,4,haybale3,16968,21739,3.83
75,4,haybale4,15623,19230,3.77
75,4,haybale5,15873,22727,3.85
75,4,haybale6,15398,20833,3.86
75,4,haybale7,16770,22222,3.95
75,3.5,haybale3,15631,20408,3.38
75,3.5,haybale4,13988,18518,3.39
75,3.5,haybale5,13965,20408,3.4
75,3.5,haybale6,13739,18867,3.4
75,3.5,haybale7,15235,20833,3.43
75,3,haybale3,12020,16666,3.42
75,3,haybale4,12176,16666,3.42
75,3,haybale5,11575,16666,3.44
75,3,haybale6,10986,15873,3.43
75,3,haybale7,12991,17543,3.43
