#Sensor,Voltage,Temp.,Report T.,Moisture,Report M.,
Name,V,C,KHz,% moist,KHz,
HB1,4.68,29,4.90196,0,16.944,
HB1,4.65,27,5.5555,0,16.837,
HB1,4.63,5,1.984,100,6.09,
HB1,4.68,46,8.26446,100,5.498,
HB2,4.71,29,4.6083,0,16.282,
HB2,4.71,59,12.04819,100,5.916,
HB2,4.71,14.5,3.0581,100,6.09,
HB3,4.70,29,4.7619,0,16.335,
HB3,4.69,58,11.49425,100,4.024,
HB3,4.69,15.5,3.15457,100,5.56,
HB4,4.70,29,4.4843,0,16.35,
HB4,4.65,56,10.75269,100,5.289,
HB4,4.71,16.2,3.11526,100,5.636,
HB5,4.73,29,4.7847,0,16.869,
HB5,4.72,54.5,10.6383,100,5.25,
Hb5,4.70,16,3.19489,100,6.109,
HB6,4.71,29,4.90196,0,16.632,
HB6,4.72,53,9.8039,100,5.206,
HB6,4.71,17,3.41297,100,5.465,
HB7,4.69,29,4.739,0,16.703,
HB7,4.68,48,7.19424,100,7.172,
HB7,4.68,47,7.4627,100,7.426,
HB7,4.67,17,4.08163,100,6.346,
