Name,ID,T1,T2,y0_slope,y0_intercept,y100_slope,y100_intercept
HB_01, 3d0026001751353335323536,,,,,,
HB_02, 3b0050000c51353431383737,0.0045,6.5077,,,,
HB_03, 370031000f47353235303035,0.0044,7.6176,-0.2744,17645,0.979,109.22
HB_04, 300026000f47333530373233,0.0047,7.4616,,,,
HB_05, 34004a000e51353338363333,0.0041,10.407,-0.22,17838,0.9861,46.437
HB_06, 17002f001947333530373233,0.004,11.112,-0.603,19203,0.9816,78.208
HB_07,210030001347353236343033,0.0048,6.1549,-1.3092,22099,0.9858,50.6
HB_08, 210021000b47343432313031,,,,,,
HB_09, 27002c001247353236343033,,,,,,
HB_10, 2d002c000b47353235303037,,,,,,
HB_11, 1c002a001247353236343033,,,,,,
HB_12, 1f0041001347353236343033,,,,,,
